4. FACILITY NAME,8. ST,23. INDUSTRY SECTOR,37. CHEMICAL,42. CLEAN AIR ACT CHEMICAL,46. CARCINOGEN,47. PBT,48. PFAS,65. ON-SITE RELEASE TOTAL,88. OFF-SITE RELEASE TOTAL,104. OFF-SITE TREATED TOTAL,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7)
BENJAMIN MOORE & CO-NEWARK,NJ,Chemicals,3-Iodo-2-propynyl butylcarbamate,NO,NO,NO,NO,4.0,0.0,0.0,0.0,4.0,582.0,0.0,0.0,0.0,586.0
SOUTHWEST IOWA RENEWABLE ENERGY,IA,Chemicals,n-Hexane,YES,NO,NO,NO,5231.36,0.0,0.0,0.0,5231.36,0.0,0.0,0.0,0.0,5231.36
SABIC INNOVATIVE PLASTICS US LLC,IL,Chemicals,Tetrabromobisphenol A,YES,NO,YES,NO,16.0,3.0,0.0,3.0,19.0,0.0,0.0,100.0,0.0,119.0
ECO SERVICES OPERATIONS CORP.,CA,Chemicals,Ammonia,NO,NO,NO,NO,3821.0,0.0,0.0,0.0,3821.0,0.0,0.0,0.0,0.0,3821.0
NCH CORP MOHAWK LABS DIV,TX,Chemicals,Naphthalene,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACDERMID ENTHONE AMERICA LLC,MN,Chemicals,Nitric acid,NO,NO,NO,NO,58.0,81.0,0.0,81.0,139.0,0.0,0.0,0.0,0.0,139.0
CHEMICAL SOLVENTS JENNINGS ROAD FACILITY,OH,Chemicals,Methanol,YES,NO,NO,NO,281.75,5.0,0.0,255.0,286.75,0.0,250.0,0.0,0.0,536.75
HELENA INDUSTRIES LLC,CA,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,219.56,0.0,219.56,219.56,0.0,0.0,0.0,0.0,219.56
COLGATE PALMOLIVE CO,SC,Chemicals,Ethylene glycol,YES,NO,NO,NO,13.0,20.0,230.0,1140.0,33.0,0.0,0.0,0.0,230.0,1153.0
STEPAN CO,GA,Chemicals,Propylene oxide,YES,YES,NO,NO,79.0,0.0,0.0,0.0,79.0,0.0,0.0,1963.0,0.0,2042.0
3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY,MN,Chemicals,Potassium perfluorobutane sulfonate,NO,NO,NO,YES,0.0,0.0,692.6,692.6,0.0,0.0,0.0,0.0,692.6,692.6
ARQ SOLUTIONS (RED RIVER) LLC,LA,Chemicals,"2,4-Dimethylphenol",NO,NO,NO,NO,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
PPG LAFAYETTE,IN,Chemicals,Certain glycol ethers,YES,NO,NO,NO,3302.0,0.0,0.0,2464.0,3302.0,0.0,2464.0,0.0,0.0,5766.0
HC MANVEL INC.,TX,Chemicals,Acrylic acid,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
