4. FACILITY NAME,8. ST,23. INDUSTRY SECTOR,37. CHEMICAL,42. CLEAN AIR ACT CHEMICAL,46. CARCINOGEN,47. PBT,48. PFAS,65. ON-SITE RELEASE TOTAL,88. OFF-SITE RELEASE TOTAL,104. OFF-SITE TREATED TOTAL,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7)
W L GORE & ASSOCIATES INC,MD,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,1154.76,0.0,0.0,818996.0,1154.76,0.0,384841.0,0.0,0.0,820150.76
HENKEL OF AMERICA INC.,NH,Chemicals,Methyl methacrylate,YES,NO,NO,NO,233.0,21081.0,0.0,21081.0,21314.0,0.0,0.0,0.0,0.0,21314.0
EXXONMOBIL BATON ROUGE CHEMICAL PLANT NORTH,LA,Chemicals,Methyl tert-butyl ether,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADDIS CARBON BLACK PLANT,LA,Chemicals,Carbon disulfide,YES,NO,NO,NO,67604.0,0.0,0.0,0.0,67604.0,0.0,0.0,3215731.0,0.0,3283335.0
PREFORMED LINE PRODUCTS,NC,Chemicals,Lead,NO,YES,YES,NO,0.007,9.99,0.0,10.04,9.997,0.0,0.05,0.0,0.0,10.047
OMNIUM,IA,Chemicals,S-Ethyl dipropylthiocarbamate,NO,NO,NO,NO,8.0,4572.0,0.0,4572.0,4580.0,0.0,0.0,0.0,0.0,4580.0
INDULOR AMERICA LP,NC,Chemicals,Acrylamide,YES,YES,NO,NO,5.0,6.16,77.84,84.0,11.16,0.0,0.0,0.0,77.84,89.0
EXFLUOR RESEARCH,TX,Chemicals,Perfluorononanoic acid,NO,NO,NO,YES,0.092,0.0,0.0,0.0,0.092,0.0,0.0,0.203,0.0,0.295
INEOS JOLIET LLC,IL,Chemicals,Methanol,YES,NO,NO,NO,3796.0,0.0,0.0,0.0,3796.0,0.0,0.0,86563.0,0.0,90359.0
HONEYWELL INTERNATIONAL INC-BATON ROUGE PLANT,LA,Chemicals,Freon 113 (CFC-113),NO,NO,NO,NO,89720.085,0.0,490.4,490.4,89720.085,0.0,0.0,952545.2,490.4,1014477.2
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,LA,Chemicals,Mercury compounds,YES,NO,YES,NO,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0
KAO SPECIALTIES AMERICAS LLC,NC,Chemicals,"4,4'-Isopropylidenediphenol",YES,NO,NO,NO,42.2,0.0,0.0,289.0,42.2,0.0,0.0,0.0,0.0,331.2
DIAMOND VOGEL INC.,IA,Chemicals,Ethylbenzene,YES,YES,NO,NO,740.0,0.0,0.0,121694.0,740.0,67758.0,0.0,0.0,0.0,190192.0
SIOUXLAND ENERGY COOPERATIVE,IA,Chemicals,Acrolein,YES,YES,NO,NO,144.88,0.0,0.0,0.0,144.88,0.0,0.0,0.0,0.0,144.88
SUN CHEMICAL CORP COLOR  INTERMEDIATES,OH,Chemicals,"1,2,4-Trichlorobenzene",YES,NO,NO,NO,1729.0,0.01,0.014,12629.023,1729.01,0.0,12629.0,0.0,0.014,14358.023
CATEXEL NEASE LLC,OH,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,3582.0,6471.0,0.0,107170.0,10053.0,0.0,0.0,0.0,0.0,110752.0
TCI AMERICA,OR,Chemicals,Toluene,YES,NO,NO,NO,0.0,0.0,1700.0,20800.0,0.0,23523.0,19100.0,0.0,1700.0,44323.0
PROTECH POWDER COATINGS DBA CHEMIONICS CORP,OH,Chemicals,Lead compounds,YES,NO,YES,NO,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0
PARKER HANNIFIN CORP O-RING DIV,TN,Chemicals,Zinc compounds,NO,NO,NO,NO,7.7,990.0,0.0,990.0,997.7,0.0,0.0,0.0,0.0,997.7
ONLINE PACKAGING INC,WI,Chemicals,Methanol,YES,NO,NO,NO,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
IODITECH INC,MO,Chemicals,Selenium compounds,YES,NO,NO,NO,0.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,5000.0
COVENTRY COATINGS CORP,NY,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,1239.0,0.0,12000.0,12000.0,1239.0,2200.0,0.0,0.0,12000.0,15439.0
SOUTHWEST DISTRIBUTING CO.,AZ,Chemicals,Ethylene glycol,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WILBUR ELLIS CO LLC RIO LINDA HUB,CA,Chemicals,Chlorsulfuron,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF CORP,PA,Chemicals,Ethyl acrylate,YES,YES,NO,NO,153.0,0.0,0.0,18.0,153.0,0.0,0.0,5434.0,0.0,5605.0
MADISON CHEMICAL CO INC,IN,Chemicals,Nitric acid,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURORIUM LLC - ZEELAND,MI,Chemicals,Pyridine,NO,YES,NO,NO,452.0,0.0,6.0,33585.0,452.0,131949.0,0.0,0.0,6.0,165986.0
COSACO LLC,TX,Chemicals,Copper  And Copper Compounds,NO,NO,NO,NO,1813.0,0.0,0.0,0.0,1813.0,0.0,0.0,0.0,0.0,1813.0
INEOS NITRILES USA LLC           GREEN LAKE PLANT,TX,Chemicals,Molybdenum trioxide,NO,YES,NO,NO,60796.0,4711.33,0.0,4711.33,65507.33,0.0,0.0,0.0,0.0,65507.33
AKRON PAINT & VARNISH INC.,OH,Chemicals,Toluene,YES,NO,NO,NO,4395.0,0.0,16637.0,217503.0,4395.0,0.0,144552.0,0.0,16637.0,221898.0
MCGEAN-ROHCO INC,MI,Chemicals,Formic acid,NO,NO,NO,NO,10.0,4700.09,0.0,4700.09,4710.09,0.0,0.0,0.0,0.0,4710.09
MYCONE DENTAL SUPPLY CO. INC. CHERRY HILL NJ,NJ,Chemicals,Benzoyl peroxide,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORMULATED SOLUTIONS LLC,FL,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,11417.9,0.0,11417.9,11417.9,0.0,0.0,0.0,0.0,11417.9
APEX INTERNATIONAL MFG,MN,Chemicals,Zinc compounds,NO,NO,NO,NO,298.0,28337.0,0.0,28337.0,28635.0,0.0,0.0,0.0,0.0,28635.0
EVONIK  CORP,WI,Chemicals,Chloromethane,YES,NO,NO,NO,2771.0,0.018,1468.812,1472.63,2771.018,11497.0,0.0,0.0,1468.812,15740.63
INEOS COMPOSITES US LLC,CA,Chemicals,Dicyclopentadiene,NO,NO,NO,NO,99.0,0.0,0.0,10874.0,99.0,16.0,0.0,0.0,0.0,10989.0
NORIT AMERICAS INC,TX,Chemicals,Lead,NO,YES,YES,NO,151.532,0.0,0.0,0.0,151.532,0.0,0.0,0.0,0.0,151.532
TICONA POLYMERS INC,TX,Chemicals,Ethylene glycol,YES,NO,NO,NO,108.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,108.0
TRECORA WAX LLC,TX,Chemicals,Propylene oxide,YES,YES,NO,NO,153.22,0.0,0.0,0.0,153.22,0.0,0.0,4.38,0.0,157.6
SHERWIN-WILLIAMS CO,OH,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,NO,NO,8.0,1.0,278.0,8544.0,9.0,0.0,0.0,124.0,278.0,8676.0
AIR PRODUCTS MANUFACTURING LLC,CA,Chemicals,Cyclohexane,NO,NO,NO,NO,430.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,430.0
AMBIT CHEMICAL TECHNOLOGIES,MS,Chemicals,Ethylbenzene,YES,YES,NO,NO,81.31,0.0,0.0,0.0,81.31,0.0,0.0,0.0,0.0,81.31
DOW CHEMICAL CO FREEPORT FACILITY,TX,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,0.0,0.0,16.0,1030.0,0.0,0.0,0.0,0.0,16.0,1030.0
BAYPORT POLYMERS LLC,TX,Chemicals,Naphthalene,YES,YES,NO,NO,0.0,0.0,25589.0,25589.0,0.0,0.0,0.0,0.0,25589.0,25589.0
ANCHOR PAINT MANUFACTURING CO INC,OK,Chemicals,Toluene,YES,NO,NO,NO,294.911,0.0,0.0,0.0,294.911,432.0,0.0,0.0,0.0,726.911
PCS PHOSPHATE CO INC,NC,Chemicals,Zinc compounds,NO,NO,NO,NO,741560.834,0.0,0.0,0.0,741560.834,0.0,0.0,0.0,0.0,741555.27
BLUE RIDGE SOLVENTS & COATINGS,VA,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,93.0,0.0,89125.0,93311.0,93.0,201475.0,0.0,0.0,89125.0,294879.0
PROTECH POWDER COATINGS DBA CHEMIONICS CORP,OH,Chemicals,Antimony compounds,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLENIS LLC,GA,Chemicals,Ammonia,NO,NO,NO,NO,631.0,194.0,7193.0,7387.0,825.0,0.0,0.0,0.0,7193.0,8018.0
OCCIDENTAL CHEMICAL CORP,TX,Chemicals,Dioxin and dioxin-like compounds,YES,YES,YES,NO,23.542,126.064,0.0,126.064,149.606,0.0,0.0,4495.04,0.0,4644.646
FUTAMURA USA INC,KS,Chemicals,Toluene,YES,NO,NO,NO,70557.0,0.0,101.0,14744.0,70557.0,2041301.0,0.0,0.0,101.0,2126602.0
SEKISUI SPECIALTY CHEMICALS AMERICA LLC. - PASADENA PLANT,TX,Chemicals,Vinyl acetate,YES,YES,NO,NO,6023.0,0.0,250.0,250.0,6023.0,0.0,0.0,25908.0,250.0,32159.0
BASF CORP,SC,Chemicals,Propylene oxide,YES,YES,NO,NO,917.32,0.0,0.0,0.0,917.32,0.0,0.0,78045.0,0.0,78874.17
MILLER WASTE MILLS DBA RTP CO,MN,Chemicals,Antimony compounds,YES,NO,NO,NO,255.0,606.0,0.0,606.0,861.0,0.0,0.0,0.0,0.0,861.0
KING INDUSTRIES INC,CT,Chemicals,Zinc compounds,NO,NO,NO,NO,42.0,912.5,0.0,912.5,954.5,0.0,0.0,0.0,0.0,954.5
PIONEER AMERICAS LLC (DBA OLIN CHLOR ALKALI PRODUCTS),LA,Chemicals,Chlorine,YES,NO,NO,NO,38.94,0.0,0.0,0.0,38.94,0.0,0.0,6443255.0,0.0,6443293.94
GFP ETHANOL LLC DBA CALGREN RENEWABLE FUELS,CA,Chemicals,Formaldehyde,YES,YES,NO,NO,4665.96,0.0,0.0,0.0,4665.96,0.0,0.0,25588.61,0.0,30254.57
DENKA PERFORMANCE ELASTOMER LLC,LA,Chemicals,Certain glycol ethers,YES,NO,NO,NO,898.0,0.0,68.0,68.0,898.0,0.0,0.0,0.0,68.0,1517.0
ARLANXEO,TX,Chemicals,Chlorobenzene,YES,NO,NO,NO,7485.35,0.0,2001.3,7721.3,7485.35,0.0,0.0,17140.2,2001.3,32346.85
CHEMOURS DELISLE PLANT,MS,Chemicals,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,NO,NO,22724.0,0.0,0.0,0.0,22724.0,0.0,0.0,0.0,0.0,22724.0
CHEMOURS CHAMBERS WORKS,NJ,Chemicals,Sodium nitrite,NO,NO,NO,NO,983.88,0.0,6.0,6.0,983.88,0.0,0.0,451239.0,6.0,452228.88
ALDRICH CHEMICAL CO LLC,WI,Chemicals,"N,N-Dimethylformamide",YES,YES,NO,NO,0.071,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.071
HENKEL US OPERATIONS CORP,SC,Chemicals,Antimony compounds,YES,NO,NO,NO,1621.7,1651.23,0.0,1651.23,3272.93,0.0,0.0,0.0,0.0,3272.93
CHEMSTATION OF ALABAMA,AL,Chemicals,Peracetic acid,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONTINENTAL CARBON CO PONCA CITY OK PLANT,OK,Chemicals,Hydrogen cyanide,YES,NO,NO,NO,567.0,0.0,0.0,0.0,567.0,0.0,0.0,20781.0,0.0,28917.0
THARALDSON ETHANOL PLANT I LLC,ND,Chemicals,Acetaldehyde,YES,YES,NO,NO,15812.72,0.0,0.0,0.0,15812.72,0.0,0.0,41130.91,0.0,56943.63
BUCKMAN LABORATORIES INC,TN,Chemicals,Maleic anhydride,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOW CHEMICAL CO FREEPORT FACILITY,TX,Chemicals,"1,3-Phenylenediamine",NO,NO,NO,NO,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,82327.0
COLOR MATRIX CORP,OH,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEMIRA CHEMICALS INC,GA,Chemicals,Formaldehyde,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NITTO DENKO AVECIA INC.,OH,Chemicals,Acetonitrile,YES,NO,NO,NO,43.0,0.0,0.0,71401.0,43.0,0.0,0.0,0.0,0.0,71444.0
SYNGENTA CROP PROTECTION LLC-OMAHA PLANT,NE,Chemicals,Atrazine,NO,NO,NO,NO,3.84,185.74,104.87,2422.71,189.58,0.0,0.0,0.0,104.87,2426.55
SHPP US LLC,NY,Chemicals,Phenol,YES,NO,NO,NO,3438.0,8.1,2475.9,15484.0,3446.1,0.0,0.0,1200.0,2500.0,20306.1
GREEN PLAINS SHENANDOAH LLC,IA,Chemicals,Ethylbenzene,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPG INDUSTRIES OHIO INC CIRCLEVILLE OH,OH,Chemicals,"Toluene-2,6-diisocyanate",NO,YES,NO,NO,2.0,0.0,0.0,0.0,2.0,0.0,0.0,101.0,0.0,103.0
HEMPEL (USA) INC,TX,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,2584.573,0.0,0.0,152685.807,2584.573,0.0,92560.809,0.0,0.0,155270.379
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,TX,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,NO,NO,100.7,0.0,0.0,0.0,100.7,0.0,0.0,49156.0,0.0,49256.7
INLAND WATERS POLLUTION CONTROL DETROIT FACILITY,MI,Chemicals,Styrene,YES,YES,NO,NO,480.0,0.0,0.0,0.0,480.0,0.0,0.0,2354.0,0.0,2834.0
ALLNEX USA INC. WALLINGFORD CT SITE,CT,Chemicals,Ammonia,NO,NO,NO,NO,1221.0,38.0,0.0,289.0,1259.0,0.0,251.0,7533.0,0.0,9043.0
GUARDIAN ENERGY HANKINSON,ND,Chemicals,Ammonia,NO,NO,NO,NO,12532.06,0.0,0.0,0.0,12532.06,0.0,0.0,2895201.9,0.0,2907733.96
CHIEF ETHANOL FUELS INC,NE,Chemicals,Methanol,YES,NO,NO,NO,480.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,480.0
NOURYON SURFACE CHEMISTRY LLC,TX,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,NO,NO,6932.0,0.0,0.0,0.0,6932.0,0.0,0.0,233.0,0.0,7165.0
WATERS TECHNOLOGY CORP,MA,Chemicals,Methanol,YES,NO,NO,NO,13815.0,0.0,17229.0,709313.0,13815.0,0.0,0.0,33370.0,17229.0,756498.0
CORTEVA AGRISCIENCE LLC - MIDLAND,MI,Chemicals,Formic acid,NO,NO,NO,NO,247.0,0.0,184586.0,184586.0,247.0,0.0,0.0,24000.0,184586.0,208833.0
CHEVRON PHILLIPS CHEMICAL CO LP,TX,Chemicals,Benzene,YES,YES,NO,NO,30513.0,24313.0,3345.0,29272.0,54826.0,0.0,0.0,594528.0,3345.0,654313.0
HUNTSMAN INTERNATIONAL LLC,TX,Chemicals,Ethylene glycol,YES,NO,NO,NO,5095.0,157034.0,0.0,157034.0,162129.0,0.0,0.0,0.0,0.0,162129.0
LSB CHEMICAL LLC,AL,Chemicals,Ammonia,NO,NO,NO,NO,553188.0,0.0,0.0,0.0,553188.0,4053.0,0.0,0.0,0.0,557241.0
ROYAL ADHESIVES & SEALANTS LLC,SC,Chemicals,Butyl acrylate,NO,NO,NO,NO,1751.0,179.6,5.4,185.0,1930.6,0.0,0.0,64342.0,5.4,66278.0
CHAMPIONX-ODESSA PLANT,TX,Chemicals,Methanol,YES,NO,NO,NO,381.68,9498.0,76599.0,174394.0,9879.68,446333.0,0.0,0.0,76599.0,621108.68
KINGSFORD MANUFACTURING CO,MO,Chemicals,Methanol,YES,NO,NO,NO,241.5,0.0,0.0,0.0,241.5,0.0,0.0,0.0,0.0,2392739.5
DAVIS PAINT CO,MO,Chemicals,Ethylbenzene,YES,YES,NO,NO,250.0,0.0,0.0,2201.0,250.0,0.0,0.0,0.0,0.0,2451.0
"ALTIVIA PETROCHEMICALS, LLC",OH,Chemicals,Cumene hydroperoxide,NO,NO,NO,NO,8405.0,0.0,0.0,0.0,8405.0,0.0,0.0,89814.0,0.0,98219.0
BIG RIVER UNITED ENERGY LLC,IA,Chemicals,Acrolein,YES,YES,NO,NO,5949.61,0.0,0.0,0.0,5949.61,0.0,0.0,44500.82,0.0,50450.43
SHELL CHEMICAL LP,TX,Chemicals,Cumene,YES,YES,NO,NO,44900.0,0.0,0.0,0.0,44900.0,0.0,0.0,300000.0,0.0,345000.0
TYCO FIRE PRODUCTS LP,WI,Chemicals,Certain glycol ethers,YES,NO,NO,NO,16.5,410.0,1967.0,2377.0,426.5,0.0,0.0,0.0,1967.0,2393.5
BASF CORP,LA,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,5060.0,0.0,12600.0,1816600.0,5060.0,0.0,0.0,33800.0,12600.0,1855460.0
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,LA,Chemicals,Certain glycol ethers,YES,NO,NO,NO,34.0,0.0,293558.0,294162.0,34.0,0.0,0.0,5201.0,293558.0,299397.0
HEUBACH LTD,PA,Chemicals,Dioxin and dioxin-like compounds,YES,YES,YES,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF CORP - HANNIBAL SITE,MO,Chemicals,Nitric acid,NO,NO,NO,NO,3646.0,0.0,69.0,69.0,3646.0,0.0,0.0,20322.0,69.0,24037.0
NALCO CO,LA,Chemicals,Methanol,YES,NO,NO,NO,15.4,0.0,27936.0,27936.0,15.4,0.0,0.0,10200.0,27936.0,38151.4
VEOLIA  - RED LION PLANT,DE,Chemicals,Hydrazine,YES,YES,NO,NO,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03
INEOS USA LLC - CHOCOLATE BAYOU PLANT,TX,Chemicals,Methanol,YES,NO,NO,NO,4258.0,0.0,0.0,0.0,4258.0,0.0,0.0,1047.0,0.0,5305.0
BLUE CUBE OPERATIONS LLC - PLAQUEMINE SITE,LA,Chemicals,"1,2-Dichloroethane",YES,YES,NO,NO,6664.0,0.0,21626.01,21626.01,6664.0,0.0,0.0,1807927.0,21626.01,1836217.01
EXXONMOBIL CHEMICAL CO BAYTOWN OLEFINS PLANT (PART),TX,Chemicals,Phenanthrene,YES,NO,NO,NO,27.0,283.0,5.0,288.0,310.0,0.0,0.0,0.0,5.0,315.0
DUBOIS CHEMICALS INC. - NAMPA ID,ID,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,NO,NO,0.0,30532.2,24274.8,54807.0,30532.2,0.0,0.0,0.0,24274.8,54807.0
PLZ CORP.,IL,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,9.0,0.0,0.0,641.0,9.0,0.0,0.0,0.0,0.0,650.0
SHERWIN-WILLIAMS CO,IL,Chemicals,Vanadium compounds,NO,NO,NO,NO,2.0,793.0,0.0,793.0,795.0,0.0,0.0,0.0,0.0,795.0
PLAZE INC,MO,Chemicals,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",NO,NO,YES,NO,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
SHINTECH PLAQUEMINE PLANT,LA,Chemicals,Lead,NO,YES,YES,NO,2391.08,5.99,0.0,5.99,2397.07,0.0,0.0,0.0,0.0,2397.07
MEGLOBAL OYSTER CREEK,TX,Chemicals,Chloroethane,YES,NO,NO,NO,89.68,0.0,0.0,0.0,89.68,0.0,0.0,10.6,0.0,392.88
SHERWIN-WILLIAMS CO,AL,Chemicals,Methyl isobutyl ketone,YES,YES,NO,NO,867.0,0.0,3301.0,12521.0,867.0,4093.0,6009.0,0.0,3301.0,17481.0
CJB INDUSTRIES INC CS PLANT,GA,Chemicals,Thiram,NO,NO,NO,NO,0.0,0.0,115.0,145.0,0.0,0.0,0.0,0.0,115.0,145.0
LYONDELLBASELL ACETYLS LLC,TX,Chemicals,Methyl iodide,YES,NO,NO,NO,2600.4,0.0,0.0,0.0,2600.4,0.0,0.0,0.0,0.0,900.4
SASHCO INC.,CO,Chemicals,Nonylphenol Ethoxylates,NO,NO,NO,NO,6.0,3087.5,0.0,3087.5,3093.5,0.0,0.0,0.0,0.0,3093.5
3M CO - SPRINGFIELD,MO,Chemicals,n-Hexane,YES,NO,NO,NO,3030.0,328.0,77442.0,77770.0,3358.0,0.0,0.0,107.0,77442.0,80907.0
BLUE FLINT ETHANOL,ND,Chemicals,n-Hexane,YES,NO,NO,NO,222.0,0.0,0.0,0.0,222.0,0.0,0.0,220.0,0.0,442.0
SHELL CATALYST & TECHNOLOGIES,LA,Chemicals,Certain glycol ethers,YES,NO,NO,NO,4370.0,5908.0,53638.0,59546.0,10278.0,0.0,0.0,0.0,53638.0,63916.0
SHELL CATALYSTS & TECHNOLOGIES - PITTSBURG,CA,Chemicals,Molybdenum trioxide,NO,YES,NO,NO,174.19,128475.67,0.0,128475.67,128649.86,0.0,0.0,0.0,0.0,128649.86
BAERLOCHER USA,OH,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WACKER CHEMICAL CORP POLYMERS DIV,KY,Chemicals,N-Methylolacrylamide,NO,NO,NO,NO,2696.129,0.0,0.0,0.0,2696.129,0.0,0.0,0.0,0.0,2696.129
MFG CHEMICAL INC,GA,Chemicals,Maleic anhydride,YES,NO,NO,NO,123.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,123.0
NALCO CO - CARSON,CA,Chemicals,Ethylbenzene,YES,YES,NO,NO,2.603,0.413,4213.447,4213.86,3.016,0.0,0.0,0.86,4213.447,4217.323
BASF CORP - VIDALIA WORKS,LA,Chemicals,Nitric acid,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRESCENT MARKETING (DBA CRESCENT MANUFACTURING),NY,Chemicals,Methanol,YES,NO,NO,NO,188.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,188.0
STERLING SPECIALTY CHEMICALS LLC,OK,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,NO,NO,922.0,1.0,94.0,481455.0,923.0,0.0,0.0,0.0,94.0,482377.0
EMCO CHEMICAL DISTRIBUTORS INC,WI,Chemicals,n-Butyl alcohol,NO,NO,NO,NO,500.0,0.0,0.0,250.0,500.0,0.0,0.0,0.0,0.0,750.0
AUSTIN POWDER CO,OH,Chemicals,Nitric acid,NO,NO,NO,NO,5000.0,0.0,63.0,63.0,5000.0,2062620.0,0.0,24461.0,63.0,2092144.0
HELENA INDUSTRIES LLC,AR,Chemicals,Ethylene glycol,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADDIS CARBON BLACK PLANT,LA,Chemicals,Phenol,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HONEYWELL INTERNATIONAL INC GEISMAR PLANT,LA,Chemicals,Chloroform,YES,YES,NO,NO,26.865,2.136,0.031,2.167,29.001,0.0,0.0,0.0,0.031,27.542
ALBAUGH INC.,MO,Chemicals,Methoxone,NO,YES,NO,NO,15.0,66.0,42.0,108.0,81.0,0.0,0.0,0.0,42.0,123.0
SOLVAY USA INC,CA,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,6.0,0.0,1.0,1997.0,6.0,0.0,0.0,0.0,1.0,2003.0
AIR PRODUCTS & CHEMICALS INC/DETROIT HYDROGEN FACILITY,MI,Chemicals,Propylene,NO,NO,NO,NO,45.5,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,1265386.5
MEXICHEM SPECIALTY RESINS INC,NJ,Chemicals,Vinyl chloride,YES,YES,NO,NO,18418.0,6.0,0.0,6.0,18424.0,13383901.0,0.0,241.0,0.0,13402566.0
CONTINENTAL CARBON CO SUNRAY,TX,Chemicals,Hydrogen cyanide,YES,NO,NO,NO,2474.0,0.0,0.0,0.0,2474.0,0.0,0.0,90672.0,0.0,126174.0
DOW SABINE RIVER OPERATIONS,TX,Chemicals,Polycyclic aromatic compounds,YES,YES,YES,NO,18.0,9881.0,0.4,9881.4,9899.0,0.0,0.0,0.0,0.4,9899.4
ST CHARLES OPERATIONS (TAFT/STAR) UNION CARBIDE CORP,LA,Chemicals,Ammonia,NO,NO,NO,NO,37924.0,51109.0,27.0,51136.0,89033.0,0.0,0.0,1118205.0,27.0,1207265.0
INEOS STYROLUTION AMERICA LLC,TX,Chemicals,Dinitrobutyl phenol,NO,NO,NO,NO,0.0,2.46,0.0,2.46,2.46,0.0,0.0,0.0,0.0,2.46
CELANESE ACETATE LLC - CELCO PLANT,VA,Chemicals,Cyclohexane,NO,NO,NO,NO,113726.0,0.0,0.0,19.95,113726.0,0.0,0.0,0.0,0.0,117676.95
JAYHAWK FINE CHEMICALS CORP,KS,Chemicals,Propylene,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RESINALL CORP,NC,Chemicals,Naphthalene,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETHOX CHEMICALS LLC,SC,Chemicals,Ethylene glycol,YES,NO,NO,NO,0.0,0.0,14418.05,14418.05,0.0,0.0,0.0,180225.65,14418.05,194643.7
ALLNEX USA INC NORTH AUGUSTA FACILITY,SC,Chemicals,Phthalic anhydride,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF CORP,PA,Chemicals,Acrylic acid,YES,NO,NO,NO,66.0,0.0,18.0,18.0,66.0,0.0,0.0,9931.0,18.0,10015.0
CHIEF ETHANOL FUELS INC,NE,Chemicals,Benzene,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENJAMIN MOORE & CO-MILFORD,MA,Chemicals,Vinyl acetate,YES,YES,NO,NO,13.52,0.0,0.0,0.0,13.52,0.0,0.0,0.0,0.0,13.52
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,TX,Chemicals,Acrylonitrile,YES,YES,NO,NO,3883584.0,0.0,153.0,153.0,3883584.0,927011.0,0.0,691496.0,153.0,5753844.0
